recipe_id,user_id,comment,rating,created_at
"029db3d1-4f21-4e98-ab32-aef892d9fb73","550e8400-e29b-41d4-a716-446655440000","Amazing recipe! Perfect every time I make it.",5,"2025-05-15 14:30:00"
"029db3d1-4f21-4e98-ab32-aef892d9fb73","550e8400-e29b-41d4-a716-446655440001","Really good recipe! Minor tweaks needed for my taste.",4,"2025-05-20 18:45:00"
"029db3d1-4f21-4e98-ab32-aef892d9fb73","550e8400-e29b-41d4-a716-446655440002","Decent recipe, but nothing special.",3,"2025-05-25 12:15:00"
"f75e4594-f135-4331-a956-32297cb20ac4","550e8400-e29b-41d4-a716-446655440003","Absolutely delicious! My family loves this dish.",5,"2025-04-10 20:20:00"
"f75e4594-f135-4331-a956-32297cb20ac4","550e8400-e29b-41d4-a716-446655440004","Very tasty! Would make some small adjustments next time.",4,"2025-04-15 16:30:00"
"f75e4594-f135-4331-a956-32297cb20ac4","550e8400-e29b-41d4-a716-446655440005","Great recipe overall, just needed a bit more seasoning.",4,"2025-04-22 11:10:00"
"ab6ce13f-4a2b-4d82-993e-4b4f5d808463","550e8400-e29b-41d4-a716-446655440006","Outstanding! This is now my go-to recipe.",5,"2025-05-01 19:45:00"
"ab6ce13f-4a2b-4d82-993e-4b4f5d808463","550e8400-e29b-41d4-a716-446655440007","Good dish! Perhaps a little more cooking time needed.",4,"2025-05-05 13:20:00"
"e5201de7-cf30-4769-98bf-3cd69c763a2a","550e8400-e29b-41d4-a716-446655440008","Perfect flavors, easy to follow instructions.",5,"2025-04-28 10:15:00"
"e5201de7-cf30-4769-98bf-3cd69c763a2a","550e8400-e29b-41d4-a716-446655440009","Nice recipe! I added some extra spices to enhance flavor.",4,"2025-05-03 15:40:00"
"e5201de7-cf30-4769-98bf-3cd69c763a2a","550e8400-e29b-41d4-a716-446655440010","Average taste, followed instructions exactly.",3,"2025-05-10 09:25:00"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0","550e8400-e29b-41d4-a716-446655440011","Incredible taste! Highly recommend to everyone.",5,"2025-04-12 17:50:00"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0","550e8400-e29b-41d4-a716-446655440012","Very good! Could use a bit more sauce but otherwise perfect.",4,"2025-04-18 14:35:00"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0","550e8400-e29b-41d4-a716-446655440013","OK recipe, might try something different next time.",3,"2025-04-25 11:20:00"
"e8a24dce-6266-4148-b19c-8eb7cee14ba0","550e8400-e29b-41d4-a716-446655440014","Not impressed, too bland for my taste.",2,"2025-05-02 16:10:00"
